Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879329681396484,33.6453667623481,30.68522096927368,33.6453667623481,126671715
2,2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
3,2007-10-10,33.289512634277344,33.968891159536575,32.998351662859996,33.839484576934595,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76728057861328,38.1422115851373,35.909971534483965,36.23348471248961,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.70374298095703,48.34904899278738,40.875894629309066,44.96833494637907,146617799
10,2007-10-19,42.558170318603516,44.28896671248295,40.43915635281395,41.733209075276584,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
13,2007-10-24,44.2889518737793,46.424139028048785,43.787503979074636,45.938865031784616,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.518306732177734,46.2462112556503,43.75515846459537,44.96833267038299,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.378501892089844,50.03131094777779,46.99028882233137,49.65927177711994,50632492
20,2007-11-02,48.23581314086914,48.52697844288558,45.29184303635139,45.663886613833,32001693
21,2007-11-05,49.222537994384766,50.30630792305431,47.912307105839936,48.20347245080184,38833135
22,2007-11-06,49.86955261230469,53.02380508184453,49.1901742797415,50.07983523268864,81880281
23,2007-11-07,49.14164733886719,51.50329098122448,48.04170378472717,50.791564864040616,33593141
24,2007-11-08,48.30052947998047,49.61076049980402,47.23293773457907,47.879964098562546,27990521
25,2007-11-12,49.46516418457031,50.33865129046459,45.566828782844695,46.84470725481463,35153735
